tract,percent_vehicle_alone_2016,percent_vehicle_alone_2015,percent_vehicle_alone_2014,percent_vehicle_alone_2013,percent_vehicle_alone_2012,percent_vehicle_alone_2011
8123.02,49.744715189670124,49.22958398,55.26512323,56.51834504,55.22273425,55.44401544
8124.0,60.322554501530696,60.52941176,60.45733408,60.6271777,57.9766537,60.79115765
8125.0,54.04508337913228,54.17835109,50.88593577,53.617498600000005,52.47735749,53.08381655
8126.0,57.84578800694014,58.02531646,55.91343734,58.55809129,56.18503119,62.66094421
8127.0,58.33025334158252,58.27186512,64.59122902,59.79672501,57.20116618,56.13707165
8128.01,50.27355595570905,50.33738192,44.64163823,48.1595092,50.44300059,48.798627
8128.02,47.374303017712094,47.17878994,50.23761032,57.76241358,44.17139256,44.66666667
8129.0,53.98611250847896,53.9755995,53.12626059,54.84884177,54.296875,54.86138227
8130.0,58.49561197816196,58.30985915,62.06700738,62.60720412,62.30223677,63.70070779
8131.0,56.00239569135889,55.65536954,59.55819881,61.12047178,62.44830438,60.22771888
8132.0,58.46390167862993,58.27725437,60.4845815,62.12451023,63.48785872,64.81149013
8133.01,64.43935735267144,64.95293266,62.24648986,58.26771654,59.29067078,55.68820225
8133.02,57.9524520933598,57.98934754,61.33162612,56.03337612,56.80317041,46.52588556
8134.0,66.03641544078693,66.2745098,64.86402967,69.15915042,66.64714495,65.71180556
8135.0,68.62389867859355,68.61652739,72.35050326,71.59960093,73.77598927,71.87594098
8136.0,67.47835030970148,67.94982699,65.73007829999999,68.69851729999999,63.50826045,64.34579439
8137.01,50.182649018810636,49.91652755,54.320203299999996,50.45045045,51.53846154,56.55058043
8137.02,58.58216369493871,58.46262341,63.16872428,60.85972851,60.29106029,67.32751784
8138.01,63.519368109315366,63.62946089999999,65.99839615,60.26165168,64.62395543,66.87116564
8138.02,66.25537598451605,66.86553465,66.57250471,63.97795591,57.0390554,54.85687471
8139.0,57.304689717002034,57.26712577,59.761263,55.77786852,58.35018197,62.34241562
8140.0,64.00723591668324,64.10480349,63.01564723,63.94523327,67.64057332,67.63110307
8141.0,61.23523360985802,61.43824909,55.24256651,60.79009434,64.12371134,66.05555556
8142.0,67.78538020591473,67.84090909,67.65432099,73.95510836,72.95360241,73.73941105
8143.0,67.8228158115148,68.53002070000001,62.53428415,61.78061977,61.74033149,60.1003192
8144.0,75.0053931347818,75.65406977,74.33628319,72.88461538,70.62556664,71.91887676
8145.0,74.69614915823404,75.58405863,69.25742574,65.81762608,68.51948052,71.67235495
8146.0,64.81501910500012,64.89315307,66.36568849,70.24943311,66.54396728,66.23430962
8147.0,59.55225724304907,59.47818997,57.56269592,61.48474825,65.46391753,70.75583696
8148.0,69.5672595497822,69.89690722,76.65706052,69.26097822,64.48787062,63.72515999
8149.0,73.18139067010058,73.77822717,70.40261153,69.24265842,70.98366882,68.61342868
8150.0,71.88817316567426,72.38493724,70.41284404,68.31812256,70.57416268,70.61759201
8151.0,64.73081879719233,64.47368421,66.38029782,71.34078212,75.04373178,74.2250287
8152.0,73.15266163679152,73.31329325,76.36986301,77.85714286,76.54686921,71.21163166
8153.0,65.62259417386358,65.63335115,69.84693878,66.99944537,68.46153846,72.50233427
8154.0,68.07755702721776,68.38872832,71.23665174,67.05632306,65.59969148,66.61775495
8155.0,72.88401842776665,73.43320849,72.26162333,73.17492127,69.40276552,71.50569886
8156.0,79.84520808402915,80.53941909,75.73886193,78.64649012,79.43412162,81.75675676
8157.01,72.16979060989385,72.75766017,71.37210615,73.66754617,67.13136729,65.08438819
8157.02,64.8182073718696,65.47667343,58.91656781,59.67280164,58.52953325,56.84210526
8158.0,73.59287755613518,73.59454855,74.26229508,74.4648318,84.06676783,84.0
8159.0,58.553651639955994,58.35889571,60.61705989,57.52625438,64.71500582,67.16476602
8160.0,62.43229107340884,62.84448819,62.40042485,62.47942951,56.03498542,59.09090909
8161.0,61.95859363391281,61.71373556,64.77668673,67.82449726,69.59876543,64.63169963
8162.0,80.8023334055553,81.4459373,79.29515419,77.20136519,80.87954111,80.72360617
8163.0,74.97377863944229,75.27089783,76.80525164,75.2688172,77.66143106,75.03217503
8164.01,73.42858050848771,74.32098765,67.66055046,68.70919136,65.82338902,65.05558241
8164.02,69.35654013866265,70.19027484,61.37931034,60.43373494,63.31535066,65.77350859
8165.0,76.17567440065696,76.9005848,75.45143973,75.20876827,70.27612344,77.80207764
8166.0,77.20187504178232,77.81818182,75.88459445,77.31958763,75.02492522,70.36839295
8167.0,76.22564783428186,77.12464589,71.98817443,70.98674521,69.08821349,71.14308553
8168.0,81.87950056098663,82.304038,84.37626161,85.13084853,84.20836751,88.09328969
8169.0,78.57686936315346,79.10958904,78.89483066,81.97080292,77.62440973,79.48902483
8170.0,72.30666652701161,72.31848185,76.28057222,76.06461087,78.79684418,81.50816523
8171.01,63.75027492282419,63.802816899999996,62.18446602,67.37623762,68.14038286,70.1411015
8171.02,85.72846696524574,86.46706587,86.94267516,85.64527259999998,83.53909465,85.60939794
8172.0,71.5992949339635,71.80349933,74.87468672,76.02941176,72.92418773,68.61499365
8173.0,73.81760207127009,74.20042644,72.14885954,73.87387387,76.125,82.10382514
8174.0,69.47748658526247,69.50747095,66.52542373,68.48107828,79.74987975,76.04060914
8175.0,67.65272274109485,67.85950961,67.73367478,70.19498607,69.25515055,75.05140507
8176.0,81.33817161312759,82.20747889,82.83737024,79.16955017,73.26273991,70.48816568
8177.0,81.14959159568394,81.69618894,78.31765935,77.91666667,84.90745135,84.11998236
8179.0,69.56459217412215,69.29166667,79.65879265,75.47169811,77.16221602,73.59274651
8180.0,80.1630097015118,80.43165468,84.77851084,83.11557789,84.14830736,79.74258534
8181.0,79.51039935668045,80.6010929,77.32949087,77.01736466,67.19008264,74.60168697
8182.0,80.48177733151802,80.99867433,79.78494624,84.00702988,81.78928247,83.36483932
8183.0,82.6377721060733,83.23375653,82.49641319999999,82.98439284,83.32055215,84.23063564
8184.01,77.128418243187,77.32724158,79.72154964,83.74930671,81.94278903,82.38227147
8184.02,82.1417152020309,82.78852568,79.85175202,85.40716612,82.17695735,82.70042194
8185.0,78.153170390318,78.38798894,76.82291667,85.95041322,85.23748395,81.80672269
8186.0,75.46122772358216,75.93206297,76.80067002,73.14528594,74.66780969,74.08993576
8187.0,82.2745185248445,82.80933063,85.18705763,82.92682927,82.09628887,77.12793734
8188.0,80.50678663753477,81.0821485,79.73584906,80.25630757,81.04978773,80.60213415
8189.0,76.44031941459332,76.79057117,78.38963443,78.03975959,78.24445493,79.51635846
8190.0,62.468230036637465,62.39316239,61.23280693,67.12398374,69.0617849,67.34130635
8191.0,79.47686213764592,80.28235294,75.42452829999999,77.22595078,76.04617605,74.18747056
8192.0,81.30964105239659,81.86773256,79.86417657,81.39367816,83.21318229,82.54076087
8193.0,83.05549739624254,83.99423216,75.51701134,80.85735403,80.713246,70.38596491
8194.0,75.65101484823484,76.05633803,79.53277545,73.41640706,74.85380117,69.24623116
8195.0,65.44593486216674,66.09240407,64.24100156,58.38976674,56.80515759,55.020920499999995
8196.0,66.1285481261567,65.97417181,73.60872059999998,70.49272116,70.72905332,71.21212121
8197.0,63.652427977448056,63.80808462,65.02835539,63.90690576,63.74903176,64.77623457
8198.01,54.96309077211853,54.80769231,58.02682821,57.97038328,56.45161289999999,63.27734907
8198.02,69.08755756637767,69.25021061,70.94370861,69.92,71.75379427,76.84117125
8199.0,63.81496939411552,63.21311475,71.91736604,74.76060192,77.25258493,75.64008778
8200.0,61.937344756508516,62.54501801,57.75862069,57.472660999999995,53.91600454,58.25358852
