tract,percent_non_citizen_2016,percent_non_citizen_2015,percent_non_citizen_2014,percent_non_citizen_2013,percent_non_citizen_2012,percent_non_citizen_2011
2828,, 18.062 , 17.827 , 14.214 , 19.525 , 13.529 
2831,, 19.403 , 19.181 , 19.546 , 17.507 , 19.920 
2832,, 5.805 , 3.579 , 5.294 , 5.976 , 6.471 
2838,, 4.921 , 4.752 , 4.001 , 4.193 , 3.439 
2909,, 0.451 , 0.522 ,0.00 ,0.00 , 1.307 
2912,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
2916,, 20.838 , 26.368 , 30.012 , 22.935 , 21.074 
2922,,0.00 ,0.00 ,0.00 ,0.00 , 0.667 
2924,, 0.695 , 0.847 ,0.00 ,0.00 ,0.00 
2925,, 0.240 , 0.585 , 0.478 ,0.00 ,0.00 
3005,, 40.391 , 40.564 , 41.343 , 44.633 , 43.742 
3006,, 27.895 , 32.107 , 30.918 , 28.890 , 28.245 
3007,, 30.102 , 31.870 , 36.058 , 36.194 , 38.991 
3008,, 33.184 , 38.768 , 42.608 , 44.962 , 49.033 
3009,, 36.487 , 40.500 , 40.816 , 41.662 , 43.254 
3011,, 34.176 , 37.304 , 39.301 , 42.431 , 45.251 
3012,, 25.692 , 31.126 , 38.466 , 38.148 , 39.589 
3016,, 28.928 , 34.545 , 34.906 , 34.859 , 33.917 
3017.01,, 35.627 , 36.245 , 39.447 , 37.591 , 32.089 
3017.02,, 38.162 , 38.035 , 40.585 , 51.166 , 49.141 
3018.01,, 39.608 , 40.415 , 41.524 , 41.599 , 41.919 
3018.02,, 35.852 , 32.240 , 36.635 , 43.125 , 44.674 
3018.03,, 42.093 , 39.929 , 37.605 , 40.434 , 42.336 
3102,, 8.350 , 7.536 , 6.934 , 5.241 , 4.371 
3103,, 23.909 , 19.089 , 19.188 , 14.544 , 7.809 
3104,, 24.324 , 20.196 , 16.602 , 18.635 , 18.929 
3105,, 26.795 , 31.069 , 30.711 , 40.446 , 42.882 
3106,, 24.479 , 23.848 , 27.462 , 27.587 , 25.495 
3107,, 26.250 , 31.507 , 31.240 , 40.767 , 42.611 
3108,, 32.291 , 34.136 , 37.796 , 41.087 , 39.925 
3109,, 29.062 , 26.752 , 30.491 , 36.553 , 35.379 
3201,, 16.399 , 13.062 , 12.181 , 12.736 , 13.135 
3204,, 12.688 , 12.089 , 10.216 , 6.662 , 6.824 
3206,, 16.427 , 15.659 , 16.289 , 17.193 , 17.089 
3301,, 9.752 , 9.157 , 10.229 , 11.893 , 11.759 
3302,, 6.702 , 6.337 , 6.486 , 7.877 , 7.910 
3403,, 23.107 , 21.626 , 16.571 , 22.586 , 21.246 
3404,, 42.294 , 37.931 , 37.288 , 30.706 , 30.685 
3405,, 23.450 , 23.045 , 24.355 , 26.742 , 30.598 
3406,, 1.091 , 0.938 ,0.00 ,0.00 ,0.00 
